filename,lat,lon,altitude,roll,pitch,yaw
00032.png,50.62421459,7.22483904,393.668,0.00278,-0.00837,-0.12091
00033.png,50.62461536,7.22472549,393.296,-0.04098,-0.01188,-0.0821
00034.png,50.62501854,7.22461126,393.007,-0.00829,-0.00235,-0.08042
00035.png,50.62542298,7.22449702,392.661,-0.02224,0.00049,-0.08951
00036.png,50.62582855,7.22438322,392.042,-0.02272,0.00818,-0.10075
00037.png,50.62623421,7.2242693,391.636,-0.01538,0.02745,-0.09424
00038.png,50.62663898,7.22415809,391.973,-0.04033,0.01462,-0.10501
00039.png,50.62704262,7.22404579,391.706,0.0068,0.01102,-0.09985
00040.png,50.62744536,7.22393579,391.4,-0.03515,0.02618,-0.08533
00041.png,50.62784589,7.22382621,391.266,-0.03149,0.03672,-0.0838
00042.png,50.6282429,7.22371787,391.12,-0.01794,0.03974,-0.09688
00043.png,50.62863587,7.22361151,391.161,-0.0084,0.03585,-0.09667
00044.png,50.62902572,7.22350761,390.781,-0.02821,0.02407,-0.08538
00045.png,50.62941458,7.22340483,389.635,0.00739,0.01768,-0.0893
00046.png,50.62980302,7.22330493,388.756,-0.01137,0.02046,-0.08366
00047.png,50.63019187,7.22320758,388.091,-0.04382,0.02056,-0.0915
00048.png,50.63058074,7.22310817,386.906,-0.01994,0.02093,-0.11046
00049.png,50.63096941,7.22300656,385.929,-0.01134,0.01739,-0.10555
00050.png,50.63135789,7.22290391,385.031,-0.02348,0.00656,-0.07816
00051.png,50.63174895,7.22280164,383.628,-0.00977,0.00822,-0.10519
00052.png,50.63214057,7.22269974,382.453,0.00202,0.01073,-0.10376
00053.png,50.63253299,7.2226,381.581,0.00413,0.00455,-0.08728
00054.png,50.63292617,7.22250273,380.553,-0.00957,0.00183,-0.06474
00055.png,50.633321,7.2224087,379.865,-0.00056,0.00067,-0.07201
00056.png,50.6337166,7.22231914,379.103,0.02945,-0.00373,-0.07703
00057.png,50.63411236,7.22223586,379.276,-0.02676,0.00305,-0.04244
00058.png,50.63450978,7.22215156,380.157,-0.01107,-0.00606,-0.05492
00059.png,50.6349071,7.22206467,380.72,-0.04031,-0.00805,-0.05171
00060.png,50.63530481,7.22197523,380.926,-0.03232,-0.00185,-0.04788
00061.png,50.63570336,7.22188547,380.596,-0.00989,-0.00817,-0.07529
00062.png,50.63610271,7.22179592,380.047,-0.03235,0.00068,-0.08482
00063.png,50.63650254,7.22170406,378.745,-0.0732,-0.00308,-0.07872
00064.png,50.6369032,7.22160531,377.104,-0.08196,0.00568,-0.0866
00065.png,50.63730412,7.22149741,375.882,-0.02997,-0.00098,-0.0987
00066.png,50.63770547,7.2213869,374.296,-0.02194,0.00473,-0.11372
00067.png,50.63810741,7.22127608,373.08,-0.02672,0.00703,-0.11676
00068.png,50.63850919,7.22116362,371.999,-0.02441,0.00175,-0.11083
00069.png,50.63891101,7.22104878,370.993,-0.07335,0.00263,-0.10274
00070.png,50.63931324,7.22092801,369.721,-0.10386,0.00285,-0.11854
00071.png,50.63971553,7.22079728,368.4,-0.10676,0.00635,-0.16361
00072.png,50.64011609,7.22065275,367.447,-0.12751,-0.00052,-0.17486
00073.png,50.64051585,7.22049346,366.401,-0.18052,-0.00069,-0.19835
00074.png,50.64091414,7.22031404,365.466,-0.22067,0.00856,-0.25553
00075.png,50.64130752,7.22010725,364.957,-0.27454,0.00829,-0.31352
00076.png,50.64169397,7.2198673,364.283,-0.2851,4e-05,-0.37901
00077.png,50.64207238,7.21959374,363.395,-0.23416,-0.00752,-0.44743
00078.png,50.64244362,7.21929352,361.836,-0.18136,-0.01519,-0.51141
00079.png,50.64280818,7.21896994,360.577,-0.16059,-0.0085,-0.55253
00080.png,50.64316661,7.21862611,359.958,-0.16138,0.00196,-0.5829
00081.png,50.64351781,7.21826405,359.745,-0.16866,0.0237,-0.61533
00082.png,50.64385939,7.21788441,360.463,-0.17548,0.05409,-0.65393
00083.png,50.64418873,7.21748951,362.08,-0.16679,0.07244,-0.69505
00084.png,50.64450518,7.21708123,364.017,-0.17293,0.05372,-0.73226
00085.png,50.64480957,7.21665984,365.36,-0.15308,0.03942,-0.75253
00086.png,50.64510405,7.21622586,366.195,-0.13168,0.03127,-0.78243
00087.png,50.64539086,7.21578105,366.294,-0.12988,0.02914,-0.82729
00088.png,50.64566963,7.21532413,366.221,-0.10176,0.02483,-0.86505
00089.png,50.64594124,7.21485686,366.372,-0.10804,0.02127,-0.88155
00090.png,50.64620637,7.21438051,366.048,-0.10013,0.02651,-0.90236
00091.png,50.64646389,7.21389497,365.748,-0.10401,0.03091,-0.91491
00092.png,50.64671387,7.21339965,366.784,-0.07144,0.03502,-0.92564
00093.png,50.64695839,7.21289899,367.653,-0.15614,0.01883,-0.93055
00094.png,50.64719593,7.21238797,367.679,-0.16386,0.00831,-0.98811
00095.png,50.64742448,7.21186795,366.957,-0.09475,0.0096,-1.0521
00096.png,50.64764594,7.21134239,366.417,-0.0791,0.01219,-1.07618
00097.png,50.64786308,7.21081259,365.814,-0.0864,0.01498,-1.10253
00098.png,50.64807509,7.21027777,365.532,-0.04941,0.01734,-1.11863
00099.png,50.64828305,7.20973946,365.463,-0.03661,0.00583,-1.12001
00100.png,50.64848977,7.20919861,364.905,-0.01559,-0.00164,-1.12137
00101.png,50.64869703,7.20865568,363.828,0.00135,0.00144,-1.11869
00102.png,50.64890561,7.20811117,363.38,-0.01689,0.0174,-1.09475
00103.png,50.64911473,7.20756513,363.387,-0.07199,0.02,-1.08774
00104.png,50.64932194,7.2070155,363.161,0.01369,0.02361,-1.10689
00105.png,50.6495301,7.20646796,363.993,-0.05623,0.03127,-1.08191
00106.png,50.64973819,7.20592027,364.455,0.00741,0.01908,-1.08894
00107.png,50.64994851,7.20537453,364.556,-0.02149,0.01341,-1.09732
00108.png,50.65015755,7.20482766,365.153,-0.04377,0.01762,-1.06801
00109.png,50.65036683,7.20427828,366.467,0.0431,0.00906,-1.07057
00110.png,50.65058052,7.20373287,366.464,-0.03063,0.00613,-1.04702
00111.png,50.650797,7.20318658,365.753,-0.00979,0.02859,-1.05831
00112.png,50.65101391,7.20264197,366.006,0.04186,0.02839,-1.04197
00113.png,50.65123577,7.20210374,366.345,-0.01826,0.03002,-1.03607
00114.png,50.6514596,7.20156801,366.363,-0.0124,0.02811,-1.04822
00115.png,50.65168346,7.20103394,366.352,-0.0203,0.02838,-1.04281
00116.png,50.651907,7.20050072,366.255,0.01158,0.0265,-1.02433
00117.png,50.65213313,7.1999703,366.628,0.00826,0.03201,-1.00343
00118.png,50.65236263,7.19944332,367.035,0.0083,0.03262,-0.98818
00119.png,50.65259616,7.19891986,367.581,0.00246,0.03903,-1.00361
00120.png,50.65283135,7.19840023,368.21,-0.00429,0.04108,-1.00558
00121.png,50.65306641,7.19788276,369.017,0.01269,0.03506,-0.97129
00122.png,50.65330405,7.19736834,369.673,0.04378,0.02306,-0.94713
00123.png,50.65354724,7.19685888,370.335,0.01072,0.02138,-0.93576
00124.png,50.65379346,7.1963514,370.789,-0.03267,0.02078,-0.93003
00125.png,50.65403992,7.19584245,370.79,-0.02953,0.01697,-0.9378
00126.png,50.65428743,7.19533247,370.621,0.00034,0.01788,-0.95007
00127.png,50.6545363,7.19482388,370.664,0.01402,0.02058,-0.9214
00128.png,50.65478854,7.19431906,371.261,0.03725,0.01772,-0.8914
00129.png,50.6550458,7.19382007,371.789,0.00256,0.01154,-0.88043
00130.png,50.65530699,7.19332388,371.597,0.00572,0.0162,-0.88956
00131.png,50.65557061,7.19283041,371.865,0.03696,0.02291,-0.87748
00132.png,50.65583815,7.19234273,372.346,0.10107,0.02074,-0.84914
00133.png,50.65611432,7.19186778,372.901,0.07083,0.01516,-0.8009
00134.png,50.65639843,7.19140323,373.197,0.02096,0.02523,-0.76403
00135.png,50.65668656,7.19094484,374.038,-0.02116,0.04516,-0.74927
00136.png,50.65697444,7.19049051,375.476,0.01069,0.05443,-0.73611
00137.png,50.65726304,7.19004421,377.616,0.04588,0.05502,-0.71888
00138.png,50.65755619,7.18961088,379.882,0.05817,0.03869,-0.72747
00139.png,50.65785483,7.18919052,381.245,0.1193,0.02803,-0.73072
00140.png,50.65816044,7.18878557,381.763,0.07218,0.0251,-0.68746
00141.png,50.6584728,7.18839196,381.752,0.09167,0.02374,-0.64261
00142.png,50.65879336,7.18801363,382.081,0.10727,0.02979,-0.6096
00143.png,50.65913484,7.18763859,382.224,0.10332,0.0386,-0.573
00144.png,50.6594695,7.18729315,383.387,0.03007,0.0532,-0.51589
00145.png,50.65980734,7.18695576,385.333,0.02653,0.04666,-0.4851
00146.png,50.66014723,7.18662524,387.042,-0.019,0.03699,-0.46672
00147.png,50.66048858,7.18629777,387.617,-0.02982,0.02956,-0.46585
00148.png,50.66083056,7.18596972,388.186,-0.04922,0.03703,-0.46623
00149.png,50.66117234,7.18563878,388.723,-0.07974,0.03332,-0.47559
00150.png,50.66151295,7.18530263,389.631,-0.04052,0.03181,-0.50155
00151.png,50.66185084,7.18496545,390.24,0.0215,0.02576,-0.47929
00152.png,50.66219124,7.18463567,391.351,0.0811,0.01955,-0.45616
00153.png,50.6625356,7.18432022,393.014,0.05344,0.0141,-0.40187
00154.png,50.66288469,7.18401726,393.938,0.00532,0.01338,-0.38317
00155.png,50.6632371,7.1837226,395.242,0.02932,0.03044,-0.37517
00156.png,50.66359142,7.18343652,397.751,-0.00415,0.01791,-0.35375
00157.png,50.66394676,7.18315236,399.209,0.01059,0.00302,-0.35768
00158.png,50.66430339,7.18287089,398.867,-0.04934,-0.01219,-0.35008
00159.png,50.66466343,7.18258833,396.282,-0.03651,-0.00409,-0.38467
00160.png,50.66502644,7.18230189,394.342,-0.04,0.02452,-0.41704
00161.png,50.66539048,7.18201239,392.945,0.00524,0.03349,-0.42193
00162.png,50.66575463,7.18172427,392.515,0.07061,0.02065,-0.37748
00163.png,50.66612351,7.18144431,392.104,-0.03139,0.02219,-0.39247
00164.png,50.66649414,7.18116335,391.363,-0.01478,0.02128,-0.40021
00165.png,50.66686703,7.1808811,390.942,-0.04119,0.02536,-0.42011
00166.png,50.66723985,7.18059614,391.001,-0.017,0.02441,-0.43307
00167.png,50.66761219,7.18031205,391.374,-0.01557,0.01995,-0.43434
00168.png,50.66798497,7.18002837,391.492,-0.04354,0.00748,-0.43629
00169.png,50.66835799,7.17974272,390.936,-0.0247,0.01703,-0.45613
00170.png,50.66873061,7.17945603,390.607,-0.0474,0.02025,-0.45588
00171.png,50.66910288,7.1791665,389.828,-0.04098,0.0241,-0.46559
00172.png,50.66947306,7.17887231,389.024,-0.02921,0.01528,-0.45273
00173.png,50.6698433,7.17857546,388.056,0.00759,0.01264,-0.4492
00174.png,50.67021502,7.17828008,387.572,-0.00828,0.01484,-0.44958
00175.png,50.67058745,7.17798464,386.854,-0.0341,0.01264,-0.45453
00176.png,50.67095996,7.17768598,385.989,-0.03674,0.01609,-0.45682
00177.png,50.67133273,7.17738405,385.195,-0.02632,0.0214,-0.47081
00178.png,50.67170453,7.17707975,384.903,-0.03111,0.03267,-0.47387
00179.png,50.6720751,7.1767733,385.41,-0.03955,0.02668,-0.47829
00180.png,50.67244372,7.17646338,385.612,-0.08147,0.01858,-0.48194
00181.png,50.67281036,7.17614585,385.571,-0.0233,0.02016,-0.50207
00182.png,50.67317574,7.17582649,385.749,0.03294,0.01472,-0.49368
00183.png,50.67354192,7.17551154,385.399,0.02016,0.01019,-0.44998
00184.png,50.67391174,7.17520111,385.046,0.01838,0.0186,-0.4535
00185.png,50.67428374,7.17489585,385.846,0.0063,0.02286,-0.44767
00186.png,50.67465638,7.17459281,386.757,-0.03683,0.01669,-0.44159
00187.png,50.67502836,7.17428696,387.455,-0.0098,0.02088,-0.43864
00188.png,50.67540026,7.17398177,388.377,0.00059,0.00996,-0.42347
00189.png,50.67577452,7.17368032,388.691,-0.06173,0.01486,-0.45593
00190.png,50.6761472,7.17337487,388.476,-0.02377,0.01449,-0.47735
00191.png,50.67651852,7.17306748,387.81,-0.0076,0.00702,-0.46598
00192.png,50.67689141,7.17276156,386.632,-0.02794,-0.01752,-0.46763
00193.png,50.67726741,7.17245524,384.979,-0.01153,-0.01711,-0.48891
00194.png,50.67764502,7.17214658,383.631,-0.02961,-0.01123,-0.47017
00195.png,50.6780252,7.17183643,382.523,-0.04786,-0.01648,-0.47809
00196.png,50.67840603,7.17152129,381.136,-0.02099,-0.02595,-0.46653
00197.png,50.678789,7.17120351,379.716,-0.0478,-0.01748,-0.44601
00198.png,50.67917419,7.17088301,378.71,-0.00855,-0.00458,-0.46383
00199.png,50.67955979,7.17056423,378.443,0.00028,-0.00564,-0.46378
00200.png,50.67994501,7.17024891,378.02,-0.00789,-0.00361,-0.42996
00201.png,50.68033229,7.16993747,377.801,-0.0159,0.00581,-0.42857
00202.png,50.68072028,7.16962993,377.422,-0.07405,0.03091,-0.45297
00203.png,50.68110366,7.16931707,378.455,-0.03267,0.03384,-0.45112
00204.png,50.68148349,7.1690027,379.349,0.01387,0.01832,-0.43813
00205.png,50.68186386,7.16869432,380.172,0.02503,0.02927,-0.44216
00206.png,50.68224463,7.1683942,382.287,0.03569,0.02763,-0.43218
00207.png,50.68262639,7.16810298,384.325,-0.02496,0.01795,-0.43444
00208.png,50.68300735,7.16781259,384.986,-0.06869,0.01028,-0.45697
00209.png,50.68338625,7.16751512,384.841,-0.03575,0.00699,-0.47657
00210.png,50.68376379,7.1672122,384.811,-0.00282,0.00734,-0.46503
00211.png,50.68414257,7.16691067,385.521,0.00634,0.01724,-0.44129
00212.png,50.68452336,7.16661281,386.741,-0.03063,0.01579,-0.44908
00213.png,50.68490353,7.16631299,387.83,-0.04317,0.00795,-0.46824
00214.png,50.68528127,7.16600706,388.971,-0.01269,-0.00864,-0.44428
00215.png,50.68566067,7.16570015,388.558,0.05847,-0.00485,-0.44344
00216.png,50.68604562,7.16540152,388.201,-0.01847,0.00427,-0.47763
00217.png,50.68643091,7.16510302,387.491,-0.04653,-0.00663,-0.49622
00218.png,50.68681478,7.1647996,385.855,-0.04632,-0.01256,-0.49147
00219.png,50.68719924,7.1644906,383.937,-0.01103,-0.00359,-0.49018
00220.png,50.68758386,7.16417885,382.402,-0.03552,0.0042,-0.47606
00221.png,50.68796783,7.16386338,381.148,-0.00564,0.00495,-0.46319
00222.png,50.68835311,7.16354897,380.476,0.03538,0.006,-0.46295
00223.png,50.68873855,7.16323869,380.099,-0.00924,0.00577,-0.42329
00224.png,50.68912511,7.162931,379.493,-0.00366,0.01112,-0.41682
00225.png,50.68951188,7.16262757,379.378,0.03126,0.02975,-0.41794
00226.png,50.68989754,7.16232951,380.215,-0.0412,0.01999,-0.39141
00227.png,50.69028259,7.16203245,379.968,-0.00658,0.01431,-0.41594
00228.png,50.69066744,7.16173957,379.968,0.00906,0.02279,-0.43334
00229.png,50.6910514,7.16145029,380.872,-0.04011,0.02241,-0.42552
00230.png,50.69143544,7.16116107,381.582,-0.05629,0.01444,-0.46938
00231.png,50.69181657,7.16086709,381.786,0.01449,-0.00483,-0.48438
00232.png,50.69219629,7.16057031,381.725,-0.02247,-0.01401,-0.44854
00233.png,50.69257809,7.16027034,381.341,-0.03166,9e-05,-0.45133
00234.png,50.69295989,7.15996741,381.591,-0.01852,0.01291,-0.44908
00235.png,50.69334201,7.15966544,381.84,0.00599,0.00426,-0.46847
00236.png,50.69372455,7.15936664,381.407,-0.00845,0.00096,-0.47916
00237.png,50.69410758,7.15906963,380.939,-0.01861,0.00586,-0.47758
00238.png,50.69449059,7.15877294,380.659,-0.00298,0.01135,-0.47122
00239.png,50.69487349,7.15847859,381.389,-0.00563,0.01419,-0.44957
00240.png,50.69525751,7.15818841,381.671,-0.01539,0.01552,-0.46514
00241.png,50.69564029,7.1578992,381.685,-0.04432,0.01689,-0.47012
00242.png,50.69602193,7.15760806,381.121,0.01102,0.02118,-0.48297
00243.png,50.6964028,7.15731725,381.618,-0.01379,0.02456,-0.46575
00244.png,50.69678306,7.15702578,382.212,0.00333,0.01296,-0.4675
00245.png,50.69716229,7.15673382,382.146,-0.03634,-0.00261,-0.45849
00246.png,50.69754095,7.15643901,380.866,-0.0165,-0.00015,-0.44941
00247.png,50.69791951,7.15614311,379.919,-0.05361,0.01333,-0.45047
00248.png,50.69829648,7.15584273,379.302,-0.04345,0.0209,-0.46664
00249.png,50.69867014,7.15553674,379.454,-0.03853,0.01857,-0.46446
00250.png,50.69904145,7.15522609,379.499,-0.04128,0.00732,-0.45804
00251.png,50.69941237,7.15491192,378.682,-0.03414,0.01118,-0.48296
00252.png,50.69978219,7.15459432,377.904,-0.00665,0.00904,-0.48676
00253.png,50.70015241,7.15427727,377.452,0.01852,0.01602,-0.4713
00254.png,50.70052419,7.15396373,377.45,-0.01086,0.01709,-0.46266
00255.png,50.70089602,7.1536492,377.449,0.00737,0.02268,-0.46795
00256.png,50.70126734,7.15333636,378.185,0.02408,0.03014,-0.44855
00257.png,50.70163935,7.1530309,379.617,-0.01191,0.02265,-0.45516
00258.png,50.70201039,7.15272752,379.762,0.00926,0.01612,-0.457
00259.png,50.70238157,7.1524266,380.372,-0.02056,0.01582,-0.44658
00260.png,50.70275323,7.15212604,380.847,-0.01661,0.0183,-0.45734
00261.png,50.70312533,7.15182615,380.898,0.0194,0.01204,-0.46895
00262.png,50.70349876,7.15153092,380.663,0.01172,0.01169,-0.46695
00263.png,50.70387373,7.15123954,380.349,-0.01661,0.00695,-0.46716
00264.png,50.70424955,7.15094966,380.009,0.01619,0.01467,-0.46396
00265.png,50.70462571,7.15066103,381.778,-0.04309,0.02847,-0.45701
00266.png,50.70500056,7.1503676,383.854,-0.08198,0.01367,-0.4727
00267.png,50.70537266,7.15006513,385.506,-0.04257,0.00156,-0.47365
00268.png,50.70574427,7.14975625,385.504,0.00027,-0.00749,-0.48933
00269.png,50.70611555,7.14944372,385.443,-0.00734,-0.00329,-0.45007
00270.png,50.70648946,7.14913203,385.314,-0.01849,0.00521,-0.4517
00271.png,50.70686578,7.1488233,384.717,-0.01731,0.01366,-0.49041
00272.png,50.70724158,7.14851551,383.881,-0.04908,0.02023,-0.49456
00273.png,50.70761577,7.14820576,383.456,-0.05089,0.02136,-0.49018
00274.png,50.70798768,7.1478935,383.69,-0.01712,0.02398,-0.49684
00275.png,50.7083572,7.14758097,384.554,-0.02137,0.01208,-0.47563
00276.png,50.70872711,7.14726936,385.093,-0.03989,0.00669,-0.50017
00277.png,50.70909518,7.14695476,385.241,-0.0377,-2e-05,-0.49165
00278.png,50.70946327,7.14663704,385.39,-0.02068,-0.00155,-0.49039
00279.png,50.70983232,7.146319,385.356,-0.03661,0.00064,-0.51898
00280.png,50.71020067,7.14599828,384.693,-0.02181,-3e-05,-0.53195
00281.png,50.71056934,7.14567542,383.716,0.00406,-0.00291,-0.53573
00282.png,50.71093889,7.14535146,383.034,0.00104,-0.00575,-0.51229
00283.png,50.71131055,7.1450279,382.1,2e-05,-0.02452,-0.49543
00284.png,50.71168433,7.14470435,380.128,0.00902,-0.0372,-0.46522
00285.png,50.71206212,7.14438058,378.49,-0.02315,-0.02567,-0.4366
00286.png,50.71244358,7.14405686,376.907,0.00597,-0.01581,-0.44465
00287.png,50.71282824,7.14373639,376.311,0.00775,-0.00424,-0.4481
00288.png,50.71321373,7.14341795,376.387,-0.01084,-0.00118,-0.42185
00289.png,50.7136007,7.14310162,377.034,-0.01024,-0.00506,-0.41783
00290.png,50.71398861,7.14278829,377.208,0.00596,-0.01512,-0.41814
00291.png,50.7143779,7.14247967,376.086,-0.03339,-0.01367,-0.41847
00292.png,50.7147688,7.14217186,374.29,-0.02172,-0.00948,-0.44809
00293.png,50.71515895,7.14186459,372.826,-0.04194,0.00255,-0.4472
00294.png,50.71554774,7.14155685,371.639,-0.01437,0.01122,-0.4394
00295.png,50.71593484,7.14124894,371.326,-0.0264,0.03491,-0.42483
00296.png,50.71631882,7.14094149,371.794,-0.00425,0.03822,-0.42106
00297.png,50.71669991,7.14063744,373.003,-0.0258,0.04063,-0.41276
00298.png,50.71707826,7.1403343,374.305,-0.01192,0.03002,-0.41591
00299.png,50.71745542,7.14003364,375.072,0.0046,0.02508,-0.43099
00300.png,50.71783257,7.13973762,375.399,-0.01955,0.01833,-0.44538
00301.png,50.71820917,7.13944164,375.159,-0.03591,0.00831,-0.45251
00302.png,50.71858527,7.13914205,374.495,-0.03799,0.00053,-0.45062
00303.png,50.71896224,7.13884005,373.386,-0.03146,-0.00258,-0.46088
00304.png,50.71933987,7.13853671,372.111,-0.01438,0.00267,-0.45909
00305.png,50.71971827,7.13823333,370.968,-0.05241,0.01249,-0.4447
00306.png,50.7200958,7.13792515,370.36,-0.03752,0.02164,-0.44822
00307.png,50.72047153,7.13761349,370.215,-0.03522,0.01208,-0.44937
00308.png,50.72084564,7.13729839,369.496,-0.04981,0.00039,-0.42926
00309.png,50.72122082,7.1369797,368.294,-0.02103,0.00291,-0.44433
00310.png,50.72159659,7.13666037,367.205,-0.01624,0.00403,-0.43065
00311.png,50.72197355,7.13634234,366.75,-0.01907,0.01361,-0.39694
00312.png,50.722353,7.13602989,366.327,0.02903,0.02085,-0.41341
00313.png,50.72273472,7.13572579,366.925,-0.05779,0.02395,-0.43611
00314.png,50.72311484,7.13541898,366.485,-0.04955,0.02398,-0.46035
00315.png,50.72349259,7.13510866,366.131,-0.02673,0.02992,-0.45379
00316.png,50.72386908,7.13479768,366.558,-0.02302,0.02934,-0.4384
00317.png,50.72424547,7.13448748,366.69,-0.00266,0.02106,-0.4393
00318.png,50.72462247,7.13417924,366.547,-0.0006,0.01909,-0.4316
00319.png,50.7250001,7.13387354,366.515,-0.03152,0.02479,-0.42038
00320.png,50.72537793,7.13356863,366.776,-0.02363,0.02422,-0.42114
00321.png,50.72575583,7.13326613,367.096,-0.02428,0.02664,-0.43353
00322.png,50.72613278,7.13296483,367.518,-0.01034,0.0295,-0.43026
00323.png,50.7265093,7.13266549,368.3,-0.00457,0.03024,-0.41484
00324.png,50.72690127,7.13235781,369.066,-0.03281,0.03179,-0.42431
00325.png,50.72727655,7.13206141,369.92,-0.03539,0.02658,-0.4173
00326.png,50.72766647,7.13175236,370.335,-0.04311,0.02043,-0.42812
00327.png,50.72804022,7.13145331,370.229,-0.02546,0.02522,-0.43364
00328.png,50.72841269,7.13115302,370.453,-0.02708,0.02914,-0.41792
00329.png,50.72878505,7.13085394,370.395,-0.0298,0.03096,-0.42694
00330.png,50.72915745,7.13055644,370.37,-0.04594,0.02987,-0.46119
00331.png,50.72952726,7.13025597,370.296,-0.02932,0.02176,-0.46166
00332.png,50.72989621,7.1299538,369.554,-0.02171,0.01204,-0.44917
00333.png,50.73026605,7.12965103,368.617,-0.01174,0.00503,-0.44524
00334.png,50.730637,7.12934795,367.582,-0.00571,0.00735,-0.43319
00335.png,50.73101004,7.12904706,367.073,-0.00374,0.03256,-0.4317
00336.png,50.73138335,7.12874984,367.356,-0.00385,0.04114,-0.42651
00337.png,50.73175554,7.12845642,367.887,-0.00713,0.0351,-0.41283
00338.png,50.73212752,7.12816731,368.255,-0.00825,0.03074,-0.41052
00339.png,50.73249919,7.12788202,368.387,0.0008,0.02365,-0.40864
00340.png,50.73287159,7.12759991,368.405,-0.03697,0.019,-0.40787
00341.png,50.73324376,7.12731623,367.979,-0.04524,0.01794,-0.4143
00342.png,50.73361549,7.12702959,367.488,-0.0342,0.02186,-0.4244
00343.png,50.73398606,7.12674084,367.081,-0.0315,0.0234,-0.42465
00344.png,50.73435636,7.12645176,366.595,-0.02489,0.02293,-0.43044
00345.png,50.73472615,7.12616192,366.148,-0.04392,0.02439,-0.44094
00346.png,50.73509441,7.12586922,365.762,-0.04552,0.02386,-0.446
00347.png,50.73546174,7.125574,365.276,-0.03429,0.01919,-0.45318
00348.png,50.73582846,7.12527691,364.83,-0.02488,0.01698,-0.46075
00349.png,50.73619505,7.1249787,364.45,-0.01877,0.01293,-0.46546
00350.png,50.73656163,7.12468009,363.943,-0.01123,0.01007,-0.45838
00351.png,50.73692892,7.12438192,363.195,-0.01876,0.00818,-0.4574
00352.png,50.7372974,7.12408439,362.469,0.02711,0.0108,-0.46887
00353.png,50.73766753,7.12379166,362.486,-0.0108,0.01608,-0.45919
00354.png,50.73803836,7.12350023,362.577,-0.01272,0.00958,-0.44387
00355.png,50.73841067,7.12321043,362.571,-0.00683,0.02164,-0.44074
00356.png,50.73878394,7.12292378,363.073,0.00075,0.02934,-0.44733
00357.png,50.73915634,7.12264061,363.603,-0.00465,0.02407,-0.43308
00358.png,50.73952892,7.12236048,364.157,0.01086,0.01982,-0.41348
00359.png,50.73990275,7.12208462,364.656,-0.01645,0.02282,-0.40201
00360.png,50.74027635,7.12180967,365.35,-0.0378,0.02666,-0.39223
00361.png,50.74064904,7.12153389,365.56,-0.01856,0.01697,-0.39714
00362.png,50.74102174,7.1212575,365.483,-0.047,0.02445,-0.40816
00363.png,50.7413928,7.12097805,365.715,-0.03277,0.02566,-0.40291
00364.png,50.74176273,7.12069793,366.038,-0.01513,0.02603,-0.40095
00365.png,50.74213242,7.12041934,366.687,-0.023,0.03381,-0.40206
00366.png,50.74250084,7.12014091,367.783,-0.02333,0.03357,-0.39837
00367.png,50.74286866,7.11986486,368.099,0.01681,0.01854,-0.41174
00368.png,50.74323739,7.11959411,367.999,-0.00769,0.02502,-0.41498
